Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,51.5416872,-0.0048211,15.55,0.353,0.88,1688907803424000,223,3
124,51.5416861,-0.0047885,21.574,0.408,0.9,1688907803548000,223,3
248,51.5416806,-0.0047607,24.227,0.777,1.09,1688907803672000,223,3
373,51.5416669,-0.0047578,23.193,0.427,1.56,1688907803797000,223,3
497,51.5416577,-0.0047554,21.986,0.249,0.43,1688907803921000,223,3
622,51.5416533,-0.0047556,22.085,0.265,0.25,1688907804046000,223,3
746,51.5416495,-0.0047566,22.213,0.286,0.29,1688907804170000,223,3
871,51.5416463,-0.0047579,22.313,0.34,0.31,1688907804295000,223,3
995,51.5416458,-0.0047568,22.116,0.312,0.37,1688907804419000,223,3
1120,51.5416487,-0.0047525,22.281,0.381,0.37,1688907804544000,223,3
1244,51.5416523,-0.0047493,23.094,0.364,0.42,1688907804668000,223,3
1369,51.5416583,-0.0047494,22.77,0.336,0.38,1688907804793000,223,3
1493,51.541654,-0.0047518,22.752,0.395,0.35,1688907804917000,223,3
1618,51.5416479,-0.0047544,22.147,0.501,0.41,1688907805042000,223,3
1742,51.5416481,-0.0047639,20.732,0.561,0.51,1688907805166000,223,3
1867,51.5416534,-0.0047802,18.989,0.503,0.56,1688907805291000,223,3
1991,51.5416619,-0.0047952,18.45,0.544,0.5,1688907805415000,223,3
2116,51.5416686,-0.0048037,18.432,0.729,0.55,1688907805540000,223,3
2240,51.541673,-0.0048072,18.693,0.762,0.74,1688907805664000,223,3
2365,51.5416801,-0.0048137,18.756,0.758,0.77,1688907805789000,218,3
2420,51.5416854,-0.0048217,18.808,0.889,0.76,1688907805844000,218,3
2475,51.5416894,-0.0048267,19.004,0.743,0.89,1688907805899000,218,3
2530,51.5416929,-0.0048249,19.716,0.891,0.75,1688907805954000,218,3
2585,51.5416941,-0.0048239,20.214,0.859,0.89,1688907806009000,218,3
2640,51.5416954,-0.0048243,20.777,0.698,0.86,1688907806064000,218,3
2695,51.5416973,-0.0048255,21.241,0.738,0.7,1688907806119000,218,3
2750,51.5416984,-0.0048228,22.183,0.745,0.74,1688907806174000,218,3
2805,51.5416978,-0.0048178,23.158,0.693,0.75,1688907806229000,218,3
2860,51.5416968,-0.004813,23.721,0.775,0.7,1688907806284000,218,3
2915,51.5416956,-0.0048101,24.417,0.661,0.78,1688907806339000,218,3
2970,51.5416958,-0.0048111,25.023,0.592,0.66,1688907806394000,218,3
3025,51.5416977,-0.0048134,25.606,0.848,0.59,1688907806449000,218,3
3080,51.5416996,-0.0048157,26.185,0.662,0.85,1688907806504000,218,3
3135,51.541702,-0.0048192,26.714,0.511,0.66,1688907806559000,218,3
3190,51.5417045,-0.0048217,27.017,0.541,0.51,1688907806614000,218,3
3245,51.5417065,-0.004823,27.31,0.702,0.54,1688907806669000,218,3
3300,51.5417082,-0.0048243,27.641,0.778,0.7,1688907806724000,218,3
3355,51.5417075,-0.0048255,27.349,0.746,0.78,1688907806779000,281,3
3410,51.5417083,-0.0048263,27.788,0.694,0.75,1688907806834000,281,3
3465,51.54171,-0.0048265,28.396,0.784,0.69,1688907806889000,281,3
3520,51.5417116,-0.0048264,28.756,0.686,0.79,1688907806944000,281,3
3575,51.5417127,-0.0048273,28.729,0.596,0.7,1688907806999000,281,3
3630,51.5417141,-0.004829,28.596,0.504,0.61,1688907807054000,281,3
3685,51.541715,-0.0048316,28.401,0.509,0.51,1688907807109000,281,3
3740,51.5417144,-0.0048339,27.73,0.671,0.52,1688907807164000,281,3
3795,51.541714,-0.0048369,27.091,0.796,0.69,1688907807219000,281,3
3850,51.5417139,-0.0048405,26.595,0.755,0.82,1688907807274000,281,3
3905,51.541713,-0.0048425,26.224,0.769,0.77,1688907807329000,281,3
3960,51.5417129,-0.0048446,25.933,0.907,0.78,1688907807384000,281,3
4015,51.5417125,-0.0048457,25.654,0.874,0.92,1688907807439000,281,3
4070,51.5417119,-0.0048473,25.328,0.811,0.88,1688907807494000,281,3
4125,51.541712,-0.0048493,25.079,0.882,0.82,1688907807549000,281,3
4180,51.5417117,-0.0048509,24.723,0.796,0.89,1688907807604000,281,3
4235,51.5417116,-0.0048515,24.479,0.84,0.81,1688907807659000,281,3
4290,51.5417116,-0.0048527,24.129,0.901,0.85,1688907807714000,281,3
4345,51.5417117,-0.0048542,23.678,0.796,0.91,1688907807769000,218,3
4403,51.5417114,-0.0048554,23.344,0.72,0.8,1688907807827000,218,3
4461,51.5417116,-0.0048574,23.059,0.805,0.73,1688907807885000,218,3
4519,51.5417115,-0.0048586,22.751,0.861,0.81,1688907807943000,218,3
4577,51.541711,-0.0048594,22.416,0.924,0.87,1688907808001000,218,3
4635,51.5417103,-0.0048599,22.128,0.94,0.93,1688907808059000,218,3
4693,51.5417101,-0.0048611,21.914,0.925,0.94,1688907808117000,218,3
4751,51.54171,-0.004862,21.805,1.025,0.93,1688907808175000,218,3
4809,51.5417102,-0.004863,21.627,1.112,1.03,1688907808233000,218,3
4867,51.5417098,-0.0048634,21.411,1.1,1.12,1688907808291000,218,3
4925,51.5417092,-0.004864,21.124,1.122,1.1,1688907808349000,218,3
4983,51.5417083,-0.0048645,20.88,1.22,1.12,1688907808407000,218,3
5041,51.5417073,-0.0048654,20.613,1.197,1.22,1688907808465000,218,3
5099,51.5417058,-0.0048662,20.265,1.112,1.2,1688907808523000,218,3
5157,51.5417043,-0.0048672,19.965,1.174,1.11,1688907808581000,218,3
5215,51.5417036,-0.0048682,19.764,1.179,1.17,1688907808639000,218,3
5273,51.5417023,-0.004869,19.526,1.258,1.18,1688907808697000,218,3
