Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,51.5143249,-0.1181895,55.942,0.64,0.64,1688890419309000,9999,0
131,51.514325,-0.118189,55.941,0.64,0.64,1688890419440000,9999,0
262,51.5143252,-0.1181886,55.941,0.64,0.64,1688890419571000,9999,0
394,51.5143253,-0.1181881,55.941,0.64,0.64,1688890419703000,9999,0
525,51.5143255,-0.1181877,55.941,0.64,0.64,1688890419834000,9999,0
656,51.5143256,-0.1181872,55.941,0.64,0.64,1688890419965000,9999,0
788,51.5143258,-0.1181868,55.941,0.64,0.64,1688890420097000,9999,0
919,51.5143259,-0.1181863,55.941,0.64,0.64,1688890420228000,9999,0
1051,51.5143261,-0.1181859,55.941,0.64,0.64,1688890420360000,9999,0
1182,51.5143262,-0.1181854,55.941,0.64,0.64,1688890420491000,9999,0
1313,51.5143263,-0.118185,55.941,0.64,0.64,1688890420622000,9999,0
1445,51.5143265,-0.1181845,55.941,0.64,0.64,1688890420754000,9999,0
1576,51.5143266,-0.1181841,55.941,0.64,0.64,1688890420885000,9999,0
1708,51.5143268,-0.1181836,55.941,0.64,0.64,1688890421017000,9999,0
1839,51.5143269,-0.1181832,55.94,0.64,0.64,1688890421148000,9999,0
1970,51.514324,-0.118186,62.233,0.308,0.64,1688890421279000,9999,0
2102,51.514325,-0.118185,64.417,0.4,0.31,1688890421411000,9999,0
2233,51.5143254,-0.118185,64.49,0.406,0.4,1688890421542000,9999,0
2365,51.5143253,-0.1181853,64.962,0.36,0.41,1688890421674000,258,2
2420,51.5143251,-0.1181854,64.347,0.29,0.36,1688890421729000,258,2
2475,51.5143248,-0.1181855,64.263,0.217,0.29,1688890421784000,258,2
2530,51.5143247,-0.1181856,64.295,0.186,0.22,1688890421839000,258,2
2585,51.5143249,-0.1181847,62.327,0.174,0.19,1688890421894000,258,2
2640,51.5143255,-0.1181836,62.15,0.214,0.17,1688890421949000,258,2
2695,51.5143255,-0.1181832,63.211,0.194,0.21,1688890422004000,258,2
2750,51.5143255,-0.1181826,64.143,0.153,0.19,1688890422059000,258,2
2805,51.5143254,-0.1181827,65.075,0.165,0.15,1688890422114000,258,2
2860,51.5143255,-0.1181828,64.729,0.175,0.16,1688890422169000,258,2
2915,51.5143257,-0.1181829,63.564,0.178,0.18,1688890422224000,258,2
2970,51.5143257,-0.1181837,63.783,0.249,0.18,1688890422279000,258,2
3025,51.5143256,-0.1181855,64.048,0.414,0.25,1688890422334000,258,2
3080,51.5143255,-0.1181876,64.505,0.585,0.41,1688890422389000,258,2
3135,51.5143257,-0.1181878,64.497,0.566,0.59,1688890422444000,258,2
3190,51.5143259,-0.1181881,66.338,0.578,0.57,1688890422499000,258,2
3245,51.5143262,-0.1181884,70.337,0.627,0.58,1688890422554000,258,2
3300,51.5143264,-0.1181885,72.703,0.663,0.63,1688890422609000,258,2
3355,51.5143266,-0.1181884,72.591,0.674,0.66,1688890422664000,258,2
3407,51.5143271,-0.1181867,72.674,0.5,0.67,1688890422716000,258,2
3459,51.5143274,-0.1181864,70.647,0.458,0.5,1688890422768000,258,2
3511,51.5143277,-0.1181855,70.427,0.418,0.46,1688890422820000,258,2
3563,51.5143278,-0.1181854,70.75,0.459,0.42,1688890422872000,258,2
3615,51.514328,-0.1181848,68.627,0.384,0.46,1688890422924000,258,2
3667,51.5143282,-0.1181847,68.619,0.348,0.38,1688890422976000,258,2
3719,51.5143286,-0.1181852,68.526,0.348,0.35,1688890423028000,258,2
3771,51.5143286,-0.1181855,67.825,0.36,0.35,1688890423080000,258,2
3823,51.5143287,-0.1181861,67.342,0.436,0.36,1688890423132000,258,2
3876,51.5143289,-0.1181883,69.564,0.604,0.44,1688890423185000,258,2
3928,51.514329,-0.1181884,69.577,0.566,0.6,1688890423237000,258,2
3980,51.514329,-0.1181884,70.567,0.573,0.57,1688890423289000,258,2
4032,51.5143293,-0.1181885,71.288,0.528,0.57,1688890423341000,258,2
4084,51.5143296,-0.118187,71.049,0.376,0.53,1688890423393000,258,2
4136,51.5143296,-0.118187,70.687,0.422,0.38,1688890423445000,258,2
4188,51.5143298,-0.1181868,70.696,0.383,0.42,1688890423497000,258,2
4240,51.51433,-0.1181867,70.193,0.356,0.38,1688890423549000,258,2
4292,51.5143298,-0.1181859,69.199,0.303,0.36,1688890423601000,258,2
4345,51.5143295,-0.1181841,69.399,0.247,0.3,1688890423654000,258,2
4400,51.5143294,-0.118183,69.341,0.196,0.25,1688890423709000,258,2
4455,51.5143292,-0.1181818,68.466,0.143,0.2,1688890423764000,258,2
4510,51.5143285,-0.1181787,68.569,0.021,0.14,1688890423819000,258,2
4565,51.5143282,-0.1181782,67.712,0.019,0.02,1688890423874000,258,2
4620,51.5143284,-0.1181783,68.179,0.021,0.02,1688890423929000,258,2
4675,51.5143289,-0.1181788,67.078,0.048,0.02,1688890423984000,258,2
4730,51.5143293,-0.1181793,65.145,0.1,0.05,1688890424039000,258,2
4785,51.5143293,-0.1181795,62.588,0.122,0.1,1688890424094000,258,2
4840,51.5143289,-0.1181794,59.11,0.107,0.12,1688890424149000,258,2
4895,51.5143285,-0.1181804,57.875,0.124,0.11,1688890424204000,258,2
4950,51.5143283,-0.1181805,58.363,0.118,0.12,1688890424259000,258,2
5005,51.5143282,-0.1181807,59.306,0.132,0.12,1688890424314000,258,2
5060,51.5143275,-0.1181807,59.402,0.193,0.13,1688890424369000,258,2
5115,51.5143266,-0.1181796,61.045,0.165,0.19,1688890424424000,258,2
5170,51.5143265,-0.1181789,62.506,0.12,0.17,1688890424479000,258,2
5225,51.5143268,-0.1181789,62.146,0.029,0.12,1688890424534000,258,2
5280,51.5143268,-0.1181784,61.103,0.027,0.03,1688890424589000,258,2
5335,51.5143266,-0.1181778,60.114,0.03,0.03,1688890424644000,857,3
5390,51.5143261,-0.1181777,56.85,0.056,0.03,1688890424699000,857,3
5445,51.514326,-0.1181776,55.653,0.068,0.06,1688890424754000,857,3
5500,51.5143261,-0.1181775,54.353,0.045,0.07,1688890424809000,857,3
5555,51.5143257,-0.1181767,53.136,0.12,0.04,1688890424864000,857,3
5610,51.5143257,-0.1181779,52.965,0.136,0.12,1688890424919000,857,3
5665,51.5143255,-0.1181778,54.947,0.179,0.14,1688890424974000,857,3
5720,51.5143256,-0.1181776,57.512,0.184,0.18,1688890425029000,857,3
5775,51.5143261,-0.1181792,52.761,0.16,0.18,1688890425084000,857,3
5830,51.5143266,-0.1181806,53.06,0.086,0.16,1688890425139000,857,3
5885,51.5143272,-0.1181824,53.321,0.22,0.09,1688890425194000,857,3
5940,51.5143272,-0.118182,53.522,0.277,0.22,1688890425249000,857,3
5995,51.5143275,-0.1181816,53.773,0.279,0.28,1688890425304000,857,3
6050,51.5143273,-0.1181788,53.914,0.323,0.28,1688890425359000,857,3
6105,51.514327,-0.1181766,54.268,0.266,0.32,1688890425414000,857,3
6160,51.514327,-0.1181764,54.621,0.223,0.27,1688890425469000,857,3
6215,51.5143272,-0.1181762,54.877,0.223,0.22,1688890425524000,857,3
6270,51.5143274,-0.1181766,55.052,0.201,0.22,1688890425579000,857,3
6325,51.5143274,-0.1181766,55.282,0.174,0.2,1688890425634000,857,3
6383,51.5143275,-0.1181777,55.465,0.107,0.17,1688890425692000,857,3
6441,51.5143277,-0.1181777,55.702,0.15,0.11,1688890425750000,857,3
6499,51.5143278,-0.1181773,55.927,0.145,0.15,1688890425808000,857,3
6557,51.5143278,-0.118177,56.124,0.149,0.15,1688890425866000,857,3
6615,51.514328,-0.1181774,56.319,0.102,0.15,1688890425924000,857,3
6673,51.5143279,-0.1181762,56.493,0.16,0.1,1688890425982000,857,3
6731,51.5143281,-0.1181768,56.635,0.147,0.16,1688890426040000,857,3
6789,51.5143284,-0.1181772,56.766,0.162,0.15,1688890426098000,857,3
6847,51.5143284,-0.1181773,56.742,0.182,0.16,1688890426156000,857,3
6905,51.5143284,-0.1181769,56.737,0.212,0.18,1688890426214000,857,3
6963,51.5143283,-0.118177,56.726,0.146,0.21,1688890426272000,857,3
7021,51.5143281,-0.1181768,56.687,0.193,0.15,1688890426330000,857,3
7079,51.514328,-0.118176,56.65,0.224,0.19,1688890426388000,857,3
7137,51.5143283,-0.1181761,56.619,0.116,0.22,1688890426446000,857,3
7195,51.5143286,-0.1181765,56.573,0.107,0.12,1688890426504000,857,3
7253,51.514329,-0.1181768,56.522,0.181,0.11,1688890426562000,857,3
7311,51.5143291,-0.118177,56.469,0.17,0.18,1688890426620000,857,3
7370,51.5143289,-0.118177,56.436,0.082,0.17,1688890426679000,534,3
7425,51.514329,-0.118177,56.392,0.045,0.08,1688890426734000,534,3
7480,51.5143288,-0.1181767,56.356,0.035,0.04,1688890426789000,534,3
7535,51.5143286,-0.1181767,56.296,0.117,0.04,1688890426844000,534,3
7590,51.5143287,-0.1181766,56.275,0.079,0.12,1688890426899000,534,3
7645,51.5143287,-0.1181762,56.26,0.063,0.08,1688890426954000,534,3
7700,51.5143288,-0.1181757,56.242,0.105,0.06,1688890427009000,534,3
7755,51.5143288,-0.1181758,56.223,0.078,0.11,1688890427064000,534,3
7810,51.5143288,-0.1181759,56.204,0.064,0.08,1688890427119000,534,3
7865,51.5143289,-0.1181756,56.183,0.046,0.06,1688890427174000,534,3
7920,51.5143289,-0.1181757,56.163,0.036,0.05,1688890427229000,534,3
7975,51.5143289,-0.1181754,56.149,0.059,0.04,1688890427284000,534,3
8030,51.5143289,-0.1181745,56.137,0.151,0.06,1688890427339000,534,3
8085,51.5143292,-0.1181746,56.117,0.109,0.15,1688890427394000,534,3
8140,51.5143294,-0.118175,56.104,0.065,0.11,1688890427449000,534,3
8195,51.5143295,-0.1181754,56.09,0.057,0.06,1688890427504000,534,3
8250,51.5143295,-0.118176,56.075,0.198,0.06,1688890427559000,534,3
8305,51.5143298,-0.1181759,56.069,0.13,0.2,1688890427614000,534,3
