Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,51.5251328,-0.1661249,38.709,0.107,0.09,1688894669534000,158,3
58,51.5251328,-0.1661249,38.722,0.084,0.11,1688894669592000,158,3
116,51.5251326,-0.1661248,38.717,0.078,0.09,1688894669650000,158,3
174,51.5251324,-0.1661249,38.721,0.152,0.09,1688894669708000,158,3
232,51.5251322,-0.1661251,38.751,0.262,0.16,1688894669766000,158,3
290,51.5251319,-0.1661254,38.757,0.392,0.26,1688894669824000,158,3
348,51.5251314,-0.1661256,38.73,0.471,0.39,1688894669882000,158,3
406,51.5251313,-0.1661259,38.706,0.478,0.47,1688894669940000,158,3
464,51.5251312,-0.1661261,38.718,0.414,0.48,1688894669998000,158,3
522,51.5251312,-0.1661264,38.771,0.418,0.42,1688894670056000,158,3
580,51.525131,-0.1661269,38.786,0.502,0.42,1688894670114000,158,3
638,51.5251309,-0.1661271,38.789,0.489,0.5,1688894670172000,158,3
696,51.5251307,-0.1661273,38.793,0.433,0.49,1688894670230000,158,3
754,51.5251305,-0.1661274,38.789,0.414,0.44,1688894670288000,158,3
812,51.5251302,-0.1661276,38.784,0.424,0.42,1688894670346000,158,3
870,51.5251301,-0.1661279,38.799,0.457,0.43,1688894670404000,158,3
928,51.52513,-0.1661281,38.808,0.42,0.46,1688894670462000,158,3
986,51.5251298,-0.1661283,38.809,0.4,0.42,1688894670520000,158,3
1045,51.5251297,-0.1661285,38.799,0.396,0.4,1688894670579000,164,3
1100,51.5251296,-0.1661288,38.793,0.435,0.4,1688894670634000,164,3
1155,51.5251295,-0.1661292,38.801,0.479,0.44,1688894670689000,164,3
1210,51.5251291,-0.1661294,38.823,0.52,0.48,1688894670744000,164,3
1265,51.5251287,-0.1661295,38.843,0.554,0.52,1688894670799000,164,3
1320,51.5251288,-0.1661299,38.875,0.497,0.56,1688894670854000,164,3
1375,51.5251288,-0.1661304,38.878,0.56,0.5,1688894670909000,164,3
1430,51.5251286,-0.1661307,38.872,0.529,0.56,1688894670964000,164,3
1485,51.5251285,-0.166131,38.903,0.487,0.53,1688894671019000,164,3
1540,51.5251279,-0.1661315,38.914,0.7,0.49,1688894671074000,164,3
1595,51.5251276,-0.1661319,38.917,0.703,0.7,1688894671129000,164,3
1650,51.5251274,-0.1661324,38.918,0.732,0.7,1688894671184000,164,3
1705,51.5251271,-0.1661332,38.909,0.892,0.73,1688894671239000,164,3
