Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,51.5353614,-0.1222799,25.082,5.042,5.06,1688900062835000,126,3
58,51.5353589,-0.1222799,25.056,5.005,5.05,1688900062893000,126,3
116,51.5353564,-0.1222801,25.03,5.03,5.01,1688900062951000,126,3
174,51.5353538,-0.1222806,25.086,5.139,5.03,1688900063009000,126,3
232,51.5353512,-0.1222808,25.081,5.185,5.14,1688900063067000,126,3
290,51.5353487,-0.1222808,25.06,5.17,5.19,1688900063125000,126,3
348,51.535346,-0.1222808,25.042,5.191,5.17,1688900063183000,126,3
406,51.5353435,-0.1222806,25.053,5.161,5.19,1688900063241000,126,3
464,51.535341,-0.1222806,25.031,5.169,5.16,1688900063299000,126,3
522,51.5353383,-0.1222806,25.022,5.259,5.17,1688900063357000,126,3
580,51.5353359,-0.1222805,25.026,5.148,5.26,1688900063415000,126,3
638,51.5353335,-0.1222804,25.012,5.039,5.15,1688900063473000,126,3
696,51.5353308,-0.1222804,25.012,5.159,5.04,1688900063531000,126,3
754,51.535328,-0.1222804,25.002,5.306,5.16,1688900063589000,126,3
812,51.5353255,-0.1222801,24.993,5.272,5.31,1688900063647000,126,3
870,51.5353229,-0.1222799,24.977,5.233,5.27,1688900063705000,126,3
928,51.5353203,-0.1222798,24.967,5.253,5.24,1688900063763000,126,3
986,51.5353175,-0.1222798,24.965,5.373,5.26,1688900063821000,126,3
1045,51.5353148,-0.1222796,24.954,5.357,5.38,1688900063880000,126,3
1100,51.5353122,-0.1222793,24.963,5.326,5.36,1688900063935000,126,3
1155,51.5353094,-0.1222792,24.936,5.406,5.33,1688900063990000,126,3
1210,51.5353065,-0.1222792,24.92,5.54,5.41,1688900064045000,126,3
1265,51.535304,-0.122279,24.893,5.394,5.54,1688900064100000,126,3
1320,51.5353014,-0.1222788,24.905,5.38,5.4,1688900064155000,126,3
1375,51.5352987,-0.1222787,24.882,5.4,5.38,1688900064210000,126,3
1430,51.5352958,-0.1222783,24.816,5.485,5.4,1688900064265000,126,3
1485,51.5352929,-0.1222776,24.76,5.604,5.49,1688900064320000,126,3
1540,51.5352904,-0.1222774,24.796,5.5,5.61,1688900064375000,126,3
1595,51.5352875,-0.1222772,24.81,5.626,5.5,1688900064430000,126,3
1650,51.5352847,-0.122277,24.78,5.583,5.63,1688900064485000,126,3
1705,51.5352821,-0.1222766,24.78,5.542,5.59,1688900064540000,126,3
1760,51.5352795,-0.1222761,24.758,5.434,5.55,1688900064595000,126,3
1815,51.5352767,-0.1222753,24.701,5.512,5.44,1688900064650000,126,3
1870,51.5352741,-0.1222754,24.716,5.428,5.52,1688900064705000,126,3
1925,51.5352714,-0.1222755,24.733,5.473,5.43,1688900064760000,126,3
1980,51.5352686,-0.1222751,24.708,5.513,5.48,1688900064815000,126,3
2035,51.5352658,-0.1222749,24.713,5.608,5.52,1688900064870000,126,3
2090,51.5352629,-0.1222747,24.685,5.655,5.61,1688900064925000,126,3
2145,51.53526,-0.1222748,24.679,5.675,5.66,1688900064980000,126,3
2200,51.5352571,-0.1222749,24.661,5.749,5.68,1688900065035000,126,3
2255,51.5352541,-0.1222749,24.676,5.852,5.75,1688900065090000,126,3
2310,51.5352512,-0.1222746,24.636,5.799,5.85,1688900065145000,126,3
2365,51.5352484,-0.1222747,24.627,5.744,5.8,1688900065200000,126,3
2420,51.5352454,-0.1222745,24.594,5.826,5.75,1688900065255000,126,3
2475,51.5352423,-0.1222743,24.543,5.941,5.83,1688900065310000,126,3
2530,51.5352392,-0.1222743,24.564,6.012,5.95,1688900065365000,126,3
2585,51.5352364,-0.1222746,24.586,5.942,6.02,1688900065420000,126,3
2640,51.5352336,-0.1222748,24.576,5.792,5.95,1688900065475000,126,3
2695,51.5352308,-0.1222747,24.602,5.81,5.8,1688900065530000,126,3
2750,51.5352278,-0.1222746,24.594,5.848,5.81,1688900065585000,126,3
2805,51.5352249,-0.1222744,24.519,5.779,5.85,1688900065640000,126,3
2860,51.535222,-0.1222746,24.536,5.821,5.78,1688900065695000,126,3
2915,51.5352192,-0.1222745,24.55,5.781,5.82,1688900065750000,126,3
2970,51.5352162,-0.1222744,24.556,5.896,5.78,1688900065805000,126,3
3025,51.5352128,-0.1222745,24.523,6.11,5.9,1688900065860000,126,3
3077,51.5352098,-0.1222742,24.467,6.082,6.11,1688900065912000,126,3
3129,51.5352067,-0.1222738,24.384,6.076,6.09,1688900065964000,126,3
3181,51.5352037,-0.1222738,24.368,6.035,6.08,1688900066016000,126,3
3233,51.5352003,-0.1222741,24.36,6.265,6.04,1688900066068000,126,3
3285,51.5351971,-0.122274,24.38,6.332,6.27,1688900066120000,126,3
3337,51.5351944,-0.122274,24.34,6.029,6.34,1688900066172000,126,3
3389,51.5351914,-0.1222744,24.331,6.051,6.03,1688900066224000,126,3
3441,51.5351882,-0.1222743,24.281,6.111,6.06,1688900066276000,126,3
3493,51.5351852,-0.1222742,24.289,6.115,6.12,1688900066328000,126,3
3546,51.535182,-0.1222738,24.24,6.21,6.12,1688900066381000,126,3
3598,51.5351789,-0.1222734,24.16,6.156,6.22,1688900066433000,126,3
3650,51.535176,-0.1222735,24.114,6.025,6.16,1688900066485000,126,3
3702,51.5351729,-0.1222735,24.103,6.044,6.03,1688900066537000,126,3
3754,51.5351697,-0.1222738,24.168,6.17,6.05,1688900066589000,126,3
3806,51.5351663,-0.1222741,24.183,6.304,6.18,1688900066641000,126,3
