Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,51.5340172,-0.094414,21.219,2.386,2.56,1688901704200000,201,3
55,51.5340185,-0.0944145,21.187,2.469,2.39,1688901704255000,201,3
110,51.5340198,-0.0944151,21.186,2.538,2.47,1688901704310000,201,3
165,51.534021,-0.0944155,21.212,2.537,2.54,1688901704365000,201,3
220,51.5340226,-0.0944165,21.194,2.785,2.54,1688901704420000,201,3
275,51.5340233,-0.0944171,21.251,2.444,2.78,1688901704475000,201,3
330,51.5340244,-0.0944176,21.252,2.396,2.44,1688901704530000,201,3
385,51.5340258,-0.0944182,21.23,2.555,2.4,1688901704585000,201,3
440,51.5340269,-0.094419,21.244,2.536,2.55,1688901704640000,201,3
495,51.534028,-0.0944198,21.257,2.511,2.54,1688901704695000,201,3
550,51.5340291,-0.0944203,21.24,2.471,2.51,1688901704750000,201,3
605,51.5340301,-0.0944215,21.227,2.452,2.47,1688901704805000,201,3
660,51.5340309,-0.0944226,21.224,2.388,2.45,1688901704860000,201,3
715,51.5340322,-0.0944235,21.214,2.498,2.39,1688901704915000,201,3
770,51.534033,-0.0944244,21.226,2.402,2.5,1688901704970000,201,3
825,51.5340341,-0.0944254,21.195,2.466,2.4,1688901705025000,201,3
880,51.5340349,-0.0944261,21.214,2.429,2.47,1688901705080000,201,3
935,51.5340362,-0.0944273,21.163,2.627,2.43,1688901705135000,201,3
990,51.534037,-0.0944286,21.141,2.564,2.63,1688901705190000,201,3
1045,51.5340382,-0.0944296,21.195,2.756,2.56,1688901705245000,201,3
1100,51.5340395,-0.0944307,21.147,2.733,2.76,1688901705300000,201,3
1155,51.5340404,-0.0944318,21.146,2.589,2.73,1688901705355000,201,3
1210,51.5340415,-0.0944326,21.197,2.54,2.59,1688901705410000,201,3
1265,51.5340432,-0.0944339,21.183,2.795,2.54,1688901705465000,201,3
1320,51.5340443,-0.0944355,21.22,2.81,2.8,1688901705520000,201,3
1375,51.5340454,-0.0944366,21.243,2.707,2.81,1688901705575000,201,3
1430,51.5340468,-0.0944378,21.226,2.779,2.71,1688901705630000,201,3
1485,51.534048,-0.0944389,21.26,2.763,2.78,1688901705685000,201,3
1540,51.5340492,-0.0944402,21.254,2.776,2.76,1688901705740000,201,3
1595,51.5340505,-0.0944416,21.257,2.868,2.78,1688901705795000,201,3
1650,51.5340515,-0.0944426,21.274,2.72,2.87,1688901705850000,201,3
1705,51.5340527,-0.0944435,21.283,2.7,2.72,1688901705905000,201,3
1760,51.5340541,-0.0944449,21.286,2.877,2.7,1688901705960000,201,3
1815,51.5340551,-0.0944462,21.306,2.762,2.88,1688901706015000,201,3
1870,51.5340564,-0.0944474,21.306,2.803,2.76,1688901706070000,201,3
1925,51.5340576,-0.0944486,21.312,2.824,2.8,1688901706125000,201,3
1980,51.5340586,-0.0944497,21.35,2.722,2.82,1688901706180000,207,3
2038,51.5340597,-0.0944514,21.332,2.784,2.72,1688901706238000,207,3
2096,51.534061,-0.0944529,21.33,2.875,2.79,1688901706296000,207,3
2154,51.534062,-0.0944548,21.328,2.944,2.88,1688901706354000,207,3
2212,51.5340635,-0.0944559,21.272,2.93,2.95,1688901706412000,207,3
2270,51.5340655,-0.0944576,21.153,3.22,2.93,1688901706470000,207,3
2328,51.5340669,-0.0944601,21.129,3.404,3.22,1688901706528000,207,3
2386,51.5340679,-0.094462,21.076,3.257,3.4,1688901706586000,207,3
2444,51.5340693,-0.094463,21.044,3.146,3.26,1688901706644000,207,3
2502,51.5340705,-0.0944643,20.971,2.971,3.15,1688901706702000,207,3
2560,51.5340719,-0.0944655,20.986,2.974,2.97,1688901706760000,207,3
2618,51.5340732,-0.0944672,21.03,3.05,2.97,1688901706818000,207,3
2676,51.5340746,-0.0944681,21.046,3,3.05,1688901706876000,207,3
2734,51.534076,-0.0944694,21.018,3.041,3,1688901706934000,207,3
2792,51.5340772,-0.0944704,20.995,2.967,3.04,1688901706992000,207,3
2850,51.5340785,-0.0944711,21.027,2.953,2.97,1688901707050000,207,3
2908,51.53408,-0.0944718,21.013,3.012,2.95,1688901707108000,207,3
2966,51.5340808,-0.0944728,21.076,2.872,3.01,1688901707166000,207,3
3025,51.5340817,-0.0944736,21.128,2.693,2.87,1688901707225000,158,3
3080,51.5340823,-0.0944746,21.197,2.559,2.69,1688901707280000,158,3
3135,51.5340831,-0.094475,21.269,2.372,2.56,1688901707335000,158,3
3190,51.5340838,-0.0944753,21.354,2.203,2.37,1688901707390000,158,3
3245,51.5340844,-0.0944757,21.404,2.021,2.21,1688901707445000,158,3
3300,51.5340849,-0.0944767,21.461,2.059,2.02,1688901707500000,158,3
3355,51.5340853,-0.0944767,21.576,1.841,2.06,1688901707555000,158,3
3410,51.5340871,-0.0944779,21.448,2.19,1.85,1688901707610000,158,3
3465,51.5340883,-0.0944792,21.422,2.354,2.19,1688901707665000,158,3
3520,51.5340894,-0.0944803,21.392,2.404,2.36,1688901707720000,158,3
3575,51.5340906,-0.0944805,21.463,2.479,2.41,1688901707775000,158,3
3630,51.5340918,-0.0944806,21.439,2.458,2.48,1688901707830000,158,3
